P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
p1_026,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_026,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_027,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_027,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024,0,9,0,0.0,1.0,0.0,0
p1_027,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_027,3,C,a,,,,L,L,L,L,R,R,R,R,R,,,,L1,L1,R2,R1,0,2,prolific1,2488.7000000000003,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_028,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R3,0,3,prolific1,2560.444444444445,9,0,0,1.0,0.0,0.0,0
p1_028,2,C,a,,,,L,X,L,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2484.5317195767198,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p1_028,2,L,b,L,L,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,4,prolific1,2496.511560846561,2,1,6,0.2222222222222222,0.1111111111111111,0.6666666666666666,1
p1_028,3,R,f,,,,,,,X,X,X,X,X,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2525.9333333333334,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p1_029,2,R,a,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2519.0554071854067,2,7,0,0.2222222222222222,0.7777777777777778,0.0,0
p1_029,2,L,f,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2487.083068783069,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p1_029,3,R,m,,,,,,,L,L,L,L,L,L,L,L,L,L1,L1,R1,R1,0,4,prolific1,2423.5111111111114,9,0,0,1.0,0.0,0.0,0
p1_029,3,C,b,,,,L,L,L,L,L,L,X,X,X,,,,L1,L1,R2,R1,0,1,prolific1,2452.536666666667,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p1_030,2,C,b,,,,L,L,L,L,L,R,R,R,X,,,,X,X,R,R,2,3,prolific1,2374.905343915344,5,3,1,0.5555555555555556,0.3333333333333333,0.1111111111111111,1
p1_030,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,4,prolific1,2482.5411688311688,9,0,0,1.0,0.0,0.0,0
p1_030,2,R,m,,,,,,,L,L,L,X,X,X,X,R,R,X,L,R,R,1,1,prolific1,2408.49507936508,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,1
p1_030,3,L,a,L,L,L,L,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,prolific1,2525.9333333333334,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p1_031,2,L,a,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,2,prolific1,2535.4665569615568,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_031,2,C,f,,,,X,L,X,X,X,X,X,X,X,,,,X,L,R,R,1,1,prolific1,2434.984523809524,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p1_031,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L2,R1,R1,0,4,prolific1,2557.5333333333338,0,9,0,0.0,1.0,0.0,0
p1_031,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2497.738888888889,0,9,0,0.0,1.0,0.0,0
p1_032,3,L,m,L,L,L,L,L,L,L,L,R,,,,,,,L1,L1,R1,R1,0,4,prolific1,2541.6,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p1_032,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_032,3,R,f,,,,,,,L,L,R,L,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific1,2496.748888888889,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_032,2,C,a,,,,L,R,L,L,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2456.6604016354017,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_033,3,C,a,,,,L,L,L,L,L,X,X,X,X,,,,L1,L1,R1,R1,0,1,prolific1,2480.9487301587305,5,0,4,0.5555555555555556,0.0,0.4444444444444444,1
p1_033,2,R,b,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2535.466556961557,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_033,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_033,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p1_034,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific1,2562.6833333333334,0,9,0,0.0,1.0,0.0,0
p1_034,2,L,f,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205,8,0,1,0.8888888888888888,0.0,0.1111111111111111,1
p1_034,2,R,a,,,,,,,X,X,X,X,R,X,R,R,R,L,L,R,R,0,2,prolific1,2513.1729725829728,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
p1_034,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific1,2493.1611111111115,0,9,0,0.0,1.0,0.0,0
p1_035,2,C,m,,,,X,X,R,L,R,L,X,R,X,,,,L,L,R,R,0,3,prolific1,2394.196005291005,2,3,4,0.2222222222222222,0.3333333333333333,0.4444444444444444,1
p1_035,3,L,b,X,X,X,X,L,L,L,R,R,,,,,,,L2,L1,R1,R2,0,2,prolific1,2409.4011111111117,3,2,4,0.3333333333333333,0.2222222222222222,0.4444444444444444,1
p1_035,2,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2534.517259037259,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p1_035,3,R,a,,,,,,,L,X,X,X,X,X,X,X,R,L1,L2,R3,R1,0,1,prolific1,2491.9666666666667,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
p1_036,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,prolific1,2559.766666666667,9,0,0,1.0,0.0,0.0,0
p1_036,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,X,1,2,prolific1,2431.4935409035406,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p1_036,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,3,prolific1,2497.7388888888886,9,0,0,1.0,0.0,0.0,0
p1_036,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
p1_037,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p1_037,2,R,b,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,1,prolific1,2503.126341621341,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p1_037,3,C,a,,,,L,L,L,L,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific1,2484.066507936508,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p1_037,3,L,f,L,R,R,R,R,R,R,R,R,,,,,,,L3,L1,R1,R1,0,4,prolific1,2442.4222222222224,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
