P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE,NUM_L,NUM_R,NUM_X,PROP_L,PROP_R,PROP_X,HAS_X
r1_052,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,X1,L1,R1,R1,1,1,rep,2518.5455555555554,0,9,0,0.0,1.0,0.0,0
r1_052,2,C,f,,,,X,X,X,X,X,X,R,R,R,,,,L,L,R,R,0,2,rep,2487.067222222222,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
r1_052,2,L,a,X,X,X,X,X,X,L,L,R,,,,,,,L,L,R,R,0,3,rep,2439.379973544974,2,1,6,0.2222222222222222,0.1111111111111111,0.6666666666666666,1
r1_053,3,L,m,L,L,X,X,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,2,rep,2517.3,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
r1_053,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,rep,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
r1_053,3,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L1,L1,R1,R1,0,4,rep,2512.677777777778,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
r1_053,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_054,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,4,rep,2419.0549019499017,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
r1_054,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,X1,X1,R1,R1,2,1,rep,2470.177777777778,9,0,0,1.0,0.0,0.0,0
r1_054,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_054,3,R,a,,,,,,,X,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,rep,2550.0277777777783,0,8,1,0.0,0.8888888888888888,0.1111111111111111,1
r1_055,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_055,3,C,f,,,,L,L,L,L,L,L,L,R,R,,,,L1,L1,R1,R1,0,1,rep,2482.8034920634923,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
r1_055,2,C,b,,,,X,X,R,X,R,R,R,R,R,,,,L,L,R,R,0,2,rep,2466.243999519,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
r1_055,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,rep,2562.811111111111,9,0,0,1.0,0.0,0.0,0
r1_056,3,C,m,,,,L,X,X,X,X,X,X,X,X,,,,L1,L2,R1,R3,0,4,rep,2497.811111111111,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_056,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,rep,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
r1_056,3,R,b,,,,,,,L,L,L,L,R,R,R,R,R,L1,L2,R1,R1,0,1,rep,2485.368253968254,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
r1_056,2,C,f,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,2,rep,2499.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
r1_057,3,L,b,L,L,L,R,R,R,R,R,R,,,,,,,L1,L1,R1,R1,0,3,rep,2472.3722222222223,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
r1_057,3,R,a,,,,,,,L,L,X,X,X,R,R,R,R,L1,L1,R2,R1,0,1,rep,2494.3722222222223,2,4,3,0.2222222222222222,0.4444444444444444,0.3333333333333333,1
r1_057,2,R,f,,,,,,,X,X,X,X,X,R,R,R,R,L,L,R,R,0,2,rep,2521.222972582973,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
r1_057,2,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,rep,2477.903201705702,0,9,0,0.0,1.0,0.0,0
r1_058,3,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R3,0,4,rep,2506.9111111111115,0,0,9,0.0,0.0,1.0,1
r1_058,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,rep,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
r1_058,3,R,b,,,,,,,L,L,L,X,X,R,R,R,R,L1,L1,R2,R1,0,1,rep,2486.238888888889,3,4,2,0.3333333333333333,0.4444444444444444,0.2222222222222222,1
r1_058,2,C,f,,,,X,X,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,rep,2471.973513893514,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
r1_059,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L2,R1,R3,0,4,rep,2554.955555555556,9,0,0,1.0,0.0,0.0,0
r1_059,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,rep,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
r1_059,3,R,f,,,,,,,X,L,X,X,X,X,X,R,R,L1,L1,R1,R1,0,1,rep,2493.961111111111,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
r1_059,2,L,b,X,X,X,X,X,X,X,L,R,,,,,,,L,L,R,R,0,2,rep,2458.000317460317,1,1,7,0.1111111111111111,0.1111111111111111,0.7777777777777778,1
r1_060,3,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L1,L1,R1,R1,0,3,rep,2521.7222222222226,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
r1_060,2,C,a,,,,L,L,L,L,L,X,X,X,R,,,,L,L,R,R,0,1,rep,2473.898083213084,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,1
r1_060,3,L,m,L,X,X,X,X,X,R,X,R,,,,,,,L2,L2,R1,R1,0,2,rep,2466.895555555556,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
r1_060,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,4,rep,2419.054901949902,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
r1_061,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,2,rep,2506.9316022866024,0,9,0,0.0,1.0,0.0,0
r1_061,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,rep,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
r1_061,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,rep,2562.811111111111,9,0,0,1.0,0.0,0.0,0
r1_061,3,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,rep,2480.2900000000004,0,9,0,0.0,1.0,0.0,0
r1_062,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L2,L2,R1,R1,0,4,rep,2490.4944444444445,0,9,0,0.0,1.0,0.0,0
r1_062,3,R,m,,,,,,,L,L,L,X,X,X,R,R,R,L1,L1,R2,R1,0,1,rep,2475.2555555555564,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
r1_062,2,L,f,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_062,2,R,a,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,rep,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
r1_064,2,R,f,,,,,,,L,L,L,L,L,L,L,R,R,L,L,R,R,0,4,rep,2436.299504199504,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
r1_064,3,R,a,,,,,,,X,X,X,X,R,R,R,R,R,L1,L1,R1,R1,0,3,rep,2530.1444444444446,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
r1_064,3,L,b,R,L,L,L,X,X,L,L,X,,,,,,,L1,L1,L2,R1,1,1,rep,2320.00126984127,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,1
r1_064,2,C,m,,,,X,X,R,R,R,R,R,L,R,,,,L,L,R,R,0,2,rep,2418.2418781218785,1,6,2,0.1111111111111111,0.6666666666666666,0.2222222222222222,1
r1_065,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_065,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R2,R1,0,1,rep,2557.5333333333338,9,0,0,1.0,0.0,0.0,0
r1_065,2,L,m,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_065,3,C,a,,,,X,X,X,X,X,R,R,R,R,,,,L1,L1,R1,R1,0,3,rep,2485.206666666667,0,4,5,0.0,0.4444444444444444,0.5555555555555556,1
r1_066,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,2,rep,2510.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
r1_066,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_066,3,L,b,L,L,X,X,L,X,X,X,X,,,,,,,L1,L1,R1,R1,0,3,rep,2505.903333333333,3,0,6,0.3333333333333333,0.0,0.6666666666666666,1
r1_066,3,R,a,,,,,,,X,X,X,X,R,R,R,R,R,L1,L2,R1,R1,0,4,rep,2528.688888888889,0,5,4,0.0,0.5555555555555556,0.4444444444444444,1
r1_067,3,C,f,,,,L,L,L,L,L,R,R,R,R,,,,L1,L1,R1,R1,0,3,rep,2492.738888888889,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
r1_067,3,L,a,L,L,L,L,L,L,L,X,X,,,,,,,L1,L1,R1,R1,0,1,rep,2540.8,7,0,2,0.7777777777777778,0.0,0.2222222222222222,1
r1_067,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_067,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_068,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_068,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,rep,2558.988888888889,9,0,0,1.0,0.0,0.0,0
r1_068,2,L,m,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
r1_068,3,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R1,0,3,rep,2508.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_069,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,rep,2497.738888888889,0,9,0,0.0,1.0,0.0,0
r1_069,3,R,b,,,,,,,L,L,L,L,X,X,R,R,R,L1,L1,R1,R1,0,1,rep,2475.2444444444445,4,3,2,0.4444444444444444,0.3333333333333333,0.2222222222222222,1
r1_069,2,C,f,,,,X,X,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,rep,2471.973513893514,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
r1_069,2,L,a,L,L,L,L,X,X,X,X,X,,,,,,,L,L,R,R,0,3,rep,2521.222972582973,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
r1_070,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L2,L2,R1,R3,0,4,rep,2464.296724386724,0,9,0,0.0,1.0,0.0,0
r1_070,3,R,m,,,,,,,L,X,X,X,X,X,X,R,R,L1,L1,R1,R1,0,1,rep,2499.955555555556,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1
r1_070,2,L,f,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,2,rep,2535.4665569615568,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
r1_070,2,R,a,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,3,rep,2513.9808465608467,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
r1_071,2,R,m,,,,,,,X,X,X,X,R,X,X,R,R,L,L,R,X,1,2,rep,2455.14835978836,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
r1_071,2,C,b,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,1,rep,2477.9032017057016,9,0,0,1.0,0.0,0.0,0
r1_071,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L2,L3,R1,1,3,rep,2413.3000000000006,9,0,0,1.0,0.0,0.0,0
r1_071,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,4,rep,2558.988888888889,9,0,0,1.0,0.0,0.0,0
r1_072,2,R,b,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2535.466556961557,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
r1_072,3,L,f,R,R,R,R,L,L,L,L,L,,,,,,,L1,L2,R1,R1,0,1,rep,2291.386666666667,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
r1_072,2,L,m,L,L,X,X,X,X,R,X,R,,,,,,,L,L,R,R,0,2,rep,2473.818994708995,2,2,5,0.2222222222222222,0.2222222222222222,0.5555555555555556,1
r1_072,3,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R2,R2,0,3,rep,2505.4222222222224,0,0,9,0.0,0.0,1.0,1
r1_073,3,L,m,L,L,L,X,L,X,X,X,X,,,,,,,L1,L1,R1,R1,0,4,rep,2517.55,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
r1_073,3,R,f,,,,,,,L,L,R,R,X,R,R,R,R,L1,L1,R1,R1,0,1,rep,2503.7555555555555,2,6,1,0.2222222222222222,0.6666666666666666,0.1111111111111111,1
r1_073,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
r1_073,2,C,a,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,3,rep,2499.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
r1_074,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,4,rep,2482.541168831169,0,9,0,0.0,1.0,0.0,0
r1_074,3,R,m,,,,,,,X,X,X,X,R,X,X,R,X,L3,L1,R1,R1,0,1,rep,2486.641111111112,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
r1_074,2,L,f,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2506.088888888889,0,0,9,0.0,0.0,1.0,1
r1_074,2,R,a,,,,,,,L,L,L,L,L,L,L,R,R,L,L,R,R,0,3,rep,2436.299504199504,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
r1_075,3,C,m,,,,L,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R3,0,4,rep,2500.538888888889,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_075,3,R,b,,,,,,,X,X,X,X,X,X,X,R,R,L3,L1,R1,R1,0,1,rep,2516.1222222222223,0,2,7,0.0,0.2222222222222222,0.7777777777777778,1
r1_075,2,C,f,,,,L,L,L,L,L,R,R,R,R,,,,L,L,R,X,1,2,rep,2436.7216810966816,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
r1_075,2,L,a,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,rep,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_076,3,L,m,L,L,R,L,L,L,R,L,L,,,,,,,L1,X1,R1,R1,1,4,rep,2418.311111111111,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
r1_076,3,R,f,,,,,,,L,L,X,X,X,X,X,X,R,L1,L1,R3,R3,0,1,rep,2478.6388888888896,2,1,6,0.2222222222222222,0.1111111111111111,0.6666666666666666,1
r1_076,2,L,b,L,L,L,L,X,R,R,R,R,,,,,,,L,L,R,R,0,2,rep,2474.885223665224,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,1
r1_076,2,C,a,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,3,rep,2477.903201705702,0,9,0,0.0,1.0,0.0,0
r1_077,2,R,f,,,,,,,L,L,L,R,L,L,L,L,R,L,L,R,R,0,4,rep,2397.6226384726383,7,2,0,0.7777777777777778,0.2222222222222222,0.0,0
r1_077,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,rep,2559.7666666666664,0,9,0,0.0,1.0,0.0,0
r1_077,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,rep,2562.6833333333334,9,0,0,1.0,0.0,0.0,0
r1_077,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_078,2,R,f,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_078,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,rep,2558.988888888889,0,9,0,0.0,1.0,0.0,0
r1_078,3,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,1,rep,2541.366666666667,9,0,0,1.0,0.0,0.0,0
r1_078,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,rep,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
r1_080,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,rep,2553.2817065342065,0,9,0,0.0,1.0,0.0,0
r1_080,3,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,3,rep,2558.988888888889,9,0,0,1.0,0.0,0.0,0
r1_080,3,C,f,,,,R,R,L,L,L,R,L,R,R,,,,R2,L2,R1,L1,2,1,rep,2182.215555555556,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
r1_080,2,C,b,,,,L,L,L,L,R,R,R,R,R,,,,L,L,R,R,0,2,rep,2478.8433140933143,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
r1_081,3,L,m,L,R,R,R,L,R,R,L,L,,,,,,,L1,X1,R1,R1,1,4,rep,2338.2833333333338,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
r1_081,3,R,f,,,,,,,X,L,L,L,L,L,L,R,R,L1,L1,R2,R1,0,1,rep,2429.572222222222,6,2,1,0.6666666666666666,0.2222222222222222,0.1111111111111111,1
r1_081,2,L,b,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,rep,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
r1_081,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,X,1,3,rep,2444.068757261257,9,0,0,1.0,0.0,0.0,0
p2_001,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,1,prolific2,2506.0888888888885,0,0,9,0.0,0.0,1.0,1
p2_001,3,L,a,L,L,L,L,L,R,R,R,R,,,,,,,L1,L1,R1,R3,0,2,prolific2,2484.4688888888886,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_001,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific2,2477.903201705702,0,9,0,0.0,1.0,0.0,0
p2_001,3,C,f,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,3,prolific2,2497.7388888888886,9,0,0,1.0,0.0,0.0,0
p2_002,2,R,b,,,,,,,X,X,X,X,X,R,X,R,R,L,L,R,R,0,2,prolific2,2509.47373015873,0,3,6,0.0,0.3333333333333333,0.6666666666666666,1
p2_002,3,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,4,prolific2,2558.988888888889,9,0,0,1.0,0.0,0.0,0
p2_002,3,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,3,prolific2,2497.7388888888886,9,0,0,1.0,0.0,0.0,0
p2_002,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,X,L,R,R,1,1,prolific2,2506.9316022866024,9,0,0,1.0,0.0,0.0,0
p2_003,3,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L3,L3,R2,R1,0,2,prolific2,2497.1933333333336,0,9,0,0.0,1.0,0.0,0
p2_003,3,L,b,L,R,L,L,R,L,L,L,R,,,,,,,R1,R3,R2,L1,3,1,prolific2,2148.528888888889,6,3,0,0.6666666666666666,0.3333333333333333,0.0,0
p2_003,2,C,m,,,,L,X,L,X,X,R,X,R,R,,,,L,L,R,R,0,3,prolific2,2463.032275132275,2,3,4,0.2222222222222222,0.3333333333333333,0.4444444444444444,1
p2_003,2,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific2,2534.517259037259,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p2_004,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific2,2478.3723328523324,3,6,0,0.3333333333333333,0.6666666666666666,0.0,0
p2_004,3,L,m,L,L,R,R,L,R,L,R,L,,,,,,,L1,R2,R2,R2,1,1,prolific2,2285.186666666667,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_004,3,R,f,,,,,,,L,L,L,L,L,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2475.597460317461,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_004,2,L,b,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,3,prolific2,2535.4665569615568,8,1,0,0.8888888888888888,0.1111111111111111,0.0,0
p2_005,2,L,a,X,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific2,2501.8029365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p2_005,3,C,m,,,,L,L,R,R,L,R,L,L,R,,,,R1,L1,L1,R1,2,1,prolific2,2191.405555555556,5,4,0,0.5555555555555556,0.4444444444444444,0.0,0
p2_005,3,R,b,,,,,,,R,R,R,R,L,R,R,R,R,L1,L2,R1,R1,0,3,prolific2,2504.766666666667,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_005,2,C,f,,,,X,X,X,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific2,2473.660666185666,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p2_006,2,R,a,,,,,,,L,L,L,X,X,X,R,R,R,L,L,R,R,0,1,prolific2,2474.5122222222226,3,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1
p2_006,2,L,f,L,L,L,L,L,L,X,X,X,,,,,,,L,L,R,R,0,4,prolific2,2529.0378495578498,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p2_006,3,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2482.541168831169,0,9,0,0.0,1.0,0.0,0
p2_006,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_007,2,L,a,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific2,2510.0529365079365,1,0,8,0.1111111111111111,0.0,0.8888888888888888,1
p2_007,3,C,m,,,,L,L,L,L,L,L,L,L,L,,,,L1,L1,R1,R1,0,1,prolific2,2476.7566666666667,9,0,0,1.0,0.0,0.0,0
p2_007,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,3,prolific2,2557.477777777778,0,9,0,0.0,1.0,0.0,0
p2_007,2,C,f,,,,X,X,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific2,2471.973513893514,0,7,2,0.0,0.7777777777777778,0.2222222222222222,1
p2_009,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,2,prolific2,2468.94878972879,0,9,0,0.0,1.0,0.0,0
p2_009,3,L,f,L,L,L,L,X,X,X,X,X,,,,,,,L1,L1,R1,R1,0,4,prolific2,2525.9333333333334,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p2_009,3,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L1,L1,R1,R1,0,3,prolific2,2508.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_009,2,L,m,L,L,X,L,L,L,L,X,X,,,,,,,L,L,R,R,0,1,prolific2,2504.377162097162,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p2_010,3,L,a,L,L,L,L,R,R,R,R,R,,,,,,,L1,L1,R1,X1,1,4,prolific2,2437.311111111111,4,5,0,0.4444444444444444,0.5555555555555556,0.0,0
p2_010,2,R,m,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,1,prolific2,2510.0529365079365,0,1,8,0.0,0.1111111111111111,0.8888888888888888,1
p2_010,3,C,f,,,,X,X,X,R,R,R,R,R,R,,,,L3,L1,R1,R1,0,3,prolific2,2483.927777777778,0,6,3,0.0,0.6666666666666666,0.3333333333333333,1
p2_010,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,2,prolific2,2506.0888888888894,0,0,9,0.0,0.0,1.0,1
p2_011,2,R,a,,,,,,,L,L,L,L,X,R,R,R,R,L,L,R,R,0,1,prolific2,2474.885223665224,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,1
p2_011,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific2,2553.2817065342065,9,0,0,1.0,0.0,0.0,0
p2_011,3,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,3,prolific2,2482.226825396825,1,8,0,0.1111111111111111,0.8888888888888888,0.0,0
p2_011,3,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,2,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_012,3,C,m,,,,R,R,R,R,R,R,R,R,R,,,,L1,L1,R1,R1,0,2,prolific2,2488.766666666667,0,9,0,0.0,1.0,0.0,0
p2_012,3,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L1,L1,R1,R1,0,4,prolific2,2558.988888888889,0,9,0,0.0,1.0,0.0,0
p2_012,2,L,a,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific2,2513.9808465608467,2,0,7,0.2222222222222222,0.0,0.7777777777777778,1
p2_012,2,C,f,,,,L,L,L,L,L,L,X,X,X,,,,L,L,R,R,0,1,prolific2,2473.6606661856663,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1
p2_013,2,C,a,,,,L,L,L,L,X,X,X,X,X,,,,L,L,R,R,0,1,prolific2,2481.7759451659454,4,0,5,0.4444444444444444,0.0,0.5555555555555556,1
p2_013,2,L,b,L,L,L,L,X,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific2,2474.885223665224,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,1
p2_013,3,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L1,L1,R1,R1,0,4,prolific2,2562.6833333333334,9,0,0,1.0,0.0,0.0,0
