P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_103,3,R,f,,,,,,,L3,L3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,0,4,prolific1,2529.05
p1_103,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2513.9808465608467
p1_104,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,L1,L1,R2,R2,0,3,prolific1,2551.6222222222223
p1_104,2,R,a,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,1,prolific1,2517.6903968253973
p1_104,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,X,1,4,prolific1,2516.2972620897617
p1_104,3,C,b,,,,X1,X1,X1,X1,X1,R2,R2,R2,R2,,,,L1,L2,R1,R1,0,2,prolific1,2483.751111111111
p1_105,2,R,f,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific1,2506.0888888888885
p1_105,3,L,b,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,L3,L3,R3,R3,0,4,prolific1,2503.9333333333334
p1_105,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894
p1_105,3,R,a,,,,,,,X1,X1,X1,X1,X1,X1,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2521.7222222222226
p1_106,3,C,m,,,,L2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L2,R2,R1,R3,1,4,prolific1,2377.4245021645024
p1_106,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,X,X,R,R,2,1,prolific1,2468.94878972879
p1_106,3,R,b,,,,,,,R3,R3,R3,R3,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2557.477777777778
p1_106,2,C,f,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894
p1_107,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.2607294557292
p1_107,2,R,m,,,,,,,L,L,X,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2481.185661375661
p1_107,3,C,f,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L2,R3,R3,0,2,prolific1,2504.5555555555557
p1_107,3,L,a,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_108,2,C,a,,,,L,L,L,L,L,L,L,R,R,,,,L,L,R,R,0,3,prolific1,2477.677455692456
p1_108,3,R,f,,,,,,,L3,L1,L1,L1,R2,R2,R2,R2,R2,L1,L3,R1,R1,0,2,prolific1,2470.0133333333333
p1_108,3,L,m,L2,R2,R2,R2,R2,R2,R2,R2,R2,,,,,,,L2,L2,R1,R1,0,4,prolific1,2418.826984126985
p1_108,2,L,b,L,R,R,R,R,R,R,R,R,,,,,,,L,L,R,R,0,1,prolific1,2419.054901949902
p1_109,3,L,f,L2,L2,L3,L3,L3,L3,L3,R3,R3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2528.2833333333338
p1_109,3,C,a,,,,L3,L3,L3,L3,L3,L3,X1,X1,R3,,,,L1,L1,R1,R1,0,1,prolific1,2484.455555555556
p1_109,2,R,b,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2534.517259037259
p1_109,2,L,m,L,L,L,L,L,L,L,R,R,,,,,,,L,L,R,R,0,4,prolific1,2519.055407185407
p1_110,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,X,X,X,X,4,3,prolific1,2375.3310119510115
p1_110,3,C,b,,,,X1,X1,X1,X1,R2,R2,R2,R1,R2,,,,L1,L1,R1,R1,0,2,prolific1,2469.8711111111115
p1_110,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,X,X,2,4,prolific1,2468.94878972879
p1_110,3,R,m,,,,,,,L3,L3,L3,X1,X1,X1,R2,R2,R2,R3,L1,R1,R1,1,1,prolific1,2382.177777777778
p1_111,2,C,m,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,3,prolific1,2477.9032017057016
p1_111,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,4,prolific1,2419.0549019499017
p1_111,3,L,b,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889
p1_111,3,R,a,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_112,2,C,b,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2477.1562578162584
p1_112,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_112,3,C,f,,,,X1,X1,X1,X1,X1,X1,X1,X1,R2,,,,L1,L1,R1,R1,0,2,prolific1,2501.427777777778
p1_112,3,L,a,L2,L2,L2,L2,L2,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,1,prolific1,2530.1444444444446
p1_113,3,C,a,,,,X1,X1,R2,X1,R3,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2464.9876190476193
p1_113,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_113,3,L,f,L2,L2,R3,R3,R3,R3,R3,R3,R3,,,,,,,L3,L3,R1,X1,1,4,prolific1,2403.811111111111
p1_113,2,R,b,,,,,,,X,X,X,X,R,R,R,R,R,L,L,R,R,0,3,prolific1,2524.84303992304
p1_114,3,L,b,R2,L1,R2,R1,L1,L1,L1,L2,R2,,,,,,,L2,L2,L2,R1,1,4,prolific1,2238.966666666667
p1_114,3,R,a,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_114,2,R,f,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2503.1263416213415
p1_114,2,C,m,,,,L,L,L,R,R,L,L,R,R,,,,L,L,R,L,1,1,prolific1,2348.877523217523
p1_115,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894
p1_115,2,L,b,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,2,prolific1,2488.0529365079365
p1_115,3,R,f,,,,,,,R3,R3,R3,R3,R3,R3,R2,R2,R2,L3,L3,R1,R1,0,3,prolific1,2559.5444444444447
p1_115,3,L,m,L3,L3,L3,L3,L3,L3,L3,R2,R2,,,,,,,L1,L2,R1,R3,0,4,prolific1,2517.3
p1_116,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_116,3,C,b,,,,L2,L2,L2,L2,R2,R2,R2,R2,R2,,,,X1,L1,R1,R1,1,1,prolific1,2440.405396825397
p1_116,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_116,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_117,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_117,3,C,f,,,,X1,X1,X1,X1,X1,X1,X1,X1,R2,,,,L1,L1,R1,R3,0,4,prolific1,2499.1833333333334
p1_117,2,C,b,,,,L,L,L,L,L,L,X,X,X,,,,L,L,R,R,0,1,prolific1,2473.6606661856663
p1_117,3,L,a,L2,L2,X1,X1,X1,X1,R3,R3,R3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2476.072222222222
p1_118,2,L,b,X,X,X,X,X,X,X,X,R,,,,,,,L,L,R,R,0,4,prolific1,2488.0529365079365
p1_118,3,R,f,,,,,,,R3,R3,R3,R3,R3,R2,R2,R2,R2,L1,L3,R1,R1,0,3,prolific1,2558.3
p1_118,3,L,m,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,X1,L1,R1,R1,1,1,prolific1,2513.5
p1_118,2,C,a,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2477.1562578162584
p1_119,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_119,2,R,b,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2503.1263416213415
p1_119,3,C,a,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,4,prolific1,2482.541168831169
p1_119,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,X1,,,,,,,L1,L1,R1,R1,0,1,prolific1,2548.222222222222
p1_120,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,X,L,R,R,1,2,prolific1,2444.2240476190473
p1_120,2,C,m,,,,L,R,R,R,L,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2447.181800976801
p1_120,3,L,b,L2,L2,L2,L2,R3,R3,R3,R3,R3,,,,,,,L1,L1,R2,R1,0,3,prolific1,2481.977777777778
p1_120,3,R,a,,,,,,,L2,X1,X1,X1,X1,X1,X1,X1,R2,L1,L1,R1,R1,0,1,prolific1,2494.9333333333334
p1_121,2,L,f,L,L,X,L,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2509.47373015873
p1_121,2,R,a,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,3,prolific1,2510.0529365079365
p1_121,3,C,b,,,,L3,L2,L3,L3,L3,L3,L3,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2479.0666666666666
p1_121,3,R,m,,,,,,,R3,R3,R3,R3,R3,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2559.7666666666664
p1_122,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_122,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_122,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_122,3,C,a,,,,L2,L2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2482.803492063492
p1_123,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894
p1_123,3,L,m,L2,L2,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,1,prolific1,2562.6833333333334
p1_123,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,L1,L1,R1,R1,0,3,prolific1,2433.388888888889
p1_123,2,L,b,L,R,L,X,X,X,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2427.8097643097644
p1_124,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_124,3,R,m,,,,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,L1,L1,L2,L2,2,3,prolific1,2298.682510637511
p1_124,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_124,3,C,b,,,,L3,L3,R3,R3,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2478.154285714286
p1_125,2,R,f,,,,,,,X,X,X,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2529.0378495578498
p1_125,2,C,m,,,,L,L,L,L,L,L,L,X,R,,,,L,L,R,R,0,1,prolific1,2473.143117068117
p1_125,3,L,b,L1,L1,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,3,prolific1,2540.828253968254
p1_125,3,R,a,,,,,,,R3,R3,R3,R3,R3,R2,R2,R2,R2,L2,L1,R1,R1,0,4,prolific1,2558.0
p1_126,3,C,m,,,,L3,L3,R3,R3,R3,R3,R3,R3,R2,,,,L1,L1,R1,X1,1,4,prolific1,2441.088888888889
p1_126,2,C,f,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2481.775945165946
p1_126,3,R,b,,,,,,,R3,R3,R2,R2,R2,R2,R2,R2,R2,L3,L1,R1,R1,0,1,prolific1,2552.977777777778
p1_126,2,L,a,L,L,L,L,L,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2524.84303992304
p1_127,2,R,b,,,,,,,R,L,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2524.4832236282236
p1_127,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_127,3,C,a,,,,L2,L2,L2,L2,L2,R3,R3,R3,R3,,,,X1,L1,R1,R1,1,1,prolific1,2442.1376190476194
p1_127,2,L,m,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2506.088888888889
p1_128,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,L1,L1,R1,R3,0,3,prolific1,2432.2111111111108
p1_128,2,C,a,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894
p1_128,2,L,b,L,L,L,X,X,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2464.7082034632035
p1_128,3,L,m,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,1,prolific1,2562.088888888889
p1_129,2,R,a,,,,,,,X,X,X,X,X,R,R,R,R,L,L,R,R,0,4,prolific1,2521.222972582973
p1_129,3,C,b,,,,L2,L2,L2,L2,X1,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2485.206666666667
p1_129,3,R,m,,,,,,,R3,R3,R3,R3,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2557.477777777778
p1_129,2,L,f,L,L,L,L,L,L,L,R,R,,,,,,,L,L,X,X,2,2,prolific1,2448.8482114182116
p1_130,2,R,f,,,,,,,X,X,X,X,X,X,X,X,R,L,L,R,R,0,2,prolific1,2510.0529365079365
p1_130,3,L,b,L2,L2,R2,R2,R2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2440.429206349206
p1_130,3,R,a,,,,,,,X1,X1,X1,X1,X1,X1,R2,R2,R2,L1,L2,R1,R1,0,3,prolific1,2520.266666666667
p1_130,2,C,m,,,,L,L,L,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2487.067222222222
p1_131,3,L,a,L2,L3,L3,L3,L3,X1,X1,X1,X1,,,,,,,L1,L1,R1,R3,0,4,prolific1,2528.211111111111
p1_131,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,1,prolific1,2506.0888888888885
p1_131,3,C,f,,,,L3,L3,L3,R3,R3,R3,R3,R2,R2,,,,L1,L1,R1,X1,1,2,prolific1,2439.1944444444443
p1_131,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894
p1_132,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_132,3,C,m,,,,L2,L3,L3,L3,L3,L3,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2481.0388888888892
p1_132,3,R,b,,,,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,L1,L1,R1,R1,0,3,prolific1,2562.811111111111
p1_132,2,C,f,,,,X,X,X,X,X,X,X,X,R,,,,L,L,R,R,0,2,prolific1,2499.0529365079365
p1_133,2,C,a,,,,L,L,L,R,R,R,R,R,R,,,,L,L,R,X,1,4,prolific1,2433.8618109668114
p1_133,3,L,m,L2,L2,L2,L3,L3,L3,L3,X1,X1,,,,,,,L1,L1,R1,R1,0,1,prolific1,2539.5666666666666
p1_133,3,R,f,,,,,,,X1,X1,R3,R3,R3,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2538.2277777777776
p1_133,2,L,b,L,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2510.0529365079365
p1_134,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_134,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,R2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2541.6
p1_134,3,C,a,,,,L3,L3,L3,L3,L3,R3,R3,R3,R3,,,,L1,L1,R1,R1,0,3,prolific1,2492.7388888888895
p1_134,2,L,m,L,L,L,L,L,L,X,X,X,,,,,,,L,L,R,R,0,1,prolific1,2529.0378495578498
p1_135,2,R,a,,,,,,,L,L,L,L,X,R,R,R,R,L,L,R,R,0,1,prolific1,2474.8852236652237
p1_135,2,L,f,L,L,L,L,L,L,R,R,R,,,,,,,L,L,R,R,0,4,prolific1,2503.126341621342
p1_135,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2482.541168831169
p1_135,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_136,3,R,a,,,,,,,X1,X1,X1,X1,X1,X1,X1,X1,R2,L1,L1,R1,R1,0,4,prolific1,2512.677777777778
p1_136,2,R,f,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2513.9808465608467
p1_136,3,L,b,L2,L2,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,3,prolific1,2517.3
p1_136,2,C,m,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,2,prolific1,2492.815052910053
p1_137,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_137,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,L1,L1,R1,R1,0,4,prolific1,2482.5411688311688
p1_137,3,L,a,L2,L2,L2,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2561.6222222222223
p1_137,2,C,b,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584
p1_138,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_138,2,C,f,,,,L,X,R,R,R,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2473.143117068117
p1_138,3,C,m,,,,L2,R2,R2,L2,L2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,4,prolific1,2440.0027777777777
p1_138,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_139,3,L,b,L2,L2,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,1,prolific1,2517.3
p1_139,2,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2534.517259037259
p1_139,3,R,a,,,,,,,R3,R3,R3,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2555.338888888889
p1_139,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,4,prolific1,2506.0888888888894
p1_140,3,C,f,,,,R3,R3,R3,L3,L3,L3,L3,L3,R2,,,,L1,L1,R1,X1,1,2,prolific1,2334.0777777777776
p1_140,2,R,m,,,,,,,R,R,R,X,X,X,X,R,R,R,L,R,L,2,1,prolific1,2279.114417989418
p1_140,3,L,a,L2,L1,L2,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R3,0,4,prolific1,2515.0511111111114
p1_140,2,C,b,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,3,prolific1,2506.0888888888894
p1_141,3,C,a,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L1,L2,R1,R1,0,1,prolific1,2481.0856132756135
p1_141,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,X,1,4,prolific1,2516.2972620897617
p1_141,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_141,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_142,2,L,a,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2487.083068783069
p1_142,3,C,m,,,,L2,L2,L2,L2,L2,L2,L2,L2,R2,,,,L1,L1,R1,R1,0,1,prolific1,2482.2268253968255
p1_142,2,C,f,,,,L,L,L,L,L,X,R,R,R,,,,L,L,R,R,0,3,prolific1,2474.6068133718136
p1_142,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,4,prolific1,2558.988888888889
p1_143,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_143,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_143,3,L,f,L2,L2,X1,L2,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,2,prolific1,2513.2555555555555
p1_143,3,C,a,,,,L2,L2,L2,L2,L2,L2,L2,R2,R2,,,,L1,L1,R1,R1,0,1,prolific1,2482.8034920634923
p1_144,2,L,b,L,L,L,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2517.690396825397
p1_144,3,L,m,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2562.088888888889
p1_144,2,C,a,,,,L,L,L,L,L,L,L,L,L,,,,L,L,R,R,0,4,prolific1,2477.9032017057016
p1_144,3,R,f,,,,,,,L3,L3,L3,L3,X1,R3,R3,R3,R3,L1,L1,R1,R1,0,1,prolific1,2486.644444444444
p1_145,2,R,m,,,,,,,X,X,X,X,X,X,X,X,X,L,L,R,R,0,3,prolific1,2506.0888888888885
p1_145,3,C,f,,,,L2,L2,L2,L2,L2,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2480.9487301587305
p1_145,3,L,a,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,L3,L1,R2,R3,0,4,prolific1,2504.6111111111113
p1_145,2,C,b,,,,X,X,X,X,X,R,R,R,R,,,,L,L,R,R,0,2,prolific1,2481.775945165946
p1_146,3,R,a,,,,,,,L2,L2,L2,L2,L2,L2,L2,R2,R2,L1,L1,R1,R1,0,1,prolific1,2440.4292063492067
p1_146,3,L,b,L2,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,R3,R3,R1,L3,3,4,prolific1,2256.0555555555557
p1_146,2,C,m,,,,X,X,X,X,X,X,X,R,X,,,,L,L,R,R,0,2,prolific1,2490.8029365079365
p1_146,2,R,f,,,,,,,X,X,X,X,X,X,R,X,R,L,L,R,R,0,3,prolific1,2505.6975132275134
p1_147,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_147,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889
p1_147,3,C,a,,,,L2,L2,L2,L2,L2,L2,R2,L2,R2,,,,L1,L1,R2,R2,0,3,prolific1,2464.392380952381
p1_147,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024
p1_148,3,R,b,,,,,,,X1,X1,X1,X1,R3,R3,R3,R3,R3,L3,L1,R3,R1,0,3,prolific1,2519.8888888888887
p1_148,2,C,f,,,,L,L,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2492.815052910053
p1_148,2,L,a,X,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,4,prolific1,2501.8029365079365
p1_148,3,C,m,,,,R3,R3,R3,L3,L3,L3,L3,L3,L3,,,,L1,L2,X1,X1,2,2,prolific1,2294.6888888888893
p1_149,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467
p1_149,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,X1,,,,,,,L1,L1,R1,R1,0,4,prolific1,2548.222222222222
p1_149,2,C,a,,,,L,L,L,L,L,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2477.1562578162584
p1_149,3,R,f,,,,,,,L3,L3,L3,L3,L3,R2,R2,R2,L3,L1,L1,R1,R1,0,3,prolific1,2439.893333333334
p1_150,3,L,b,L2,L2,L2,L3,L3,X1,X1,R3,R3,,,,,,,L1,L1,R1,R1,0,2,prolific1,2505.8055555555557
p1_150,2,C,m,,,,L,L,L,L,L,L,R,R,R,,,,L,L,R,R,0,3,prolific1,2478.372332852333
p1_150,3,R,a,,,,,,,L3,L3,L3,L3,X1,R3,R3,R3,R2,L1,L1,R1,R1,0,1,prolific1,2486.144444444444
p1_150,2,R,f,,,,,,,X,X,X,X,X,X,R,R,R,L,L,R,R,0,4,prolific1,2517.6903968253973
p1_151,2,R,a,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,0,2,prolific1,2535.466556961557
p1_151,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L2,R1,R1,0,1,prolific1,2557.5333333333338
p1_151,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_151,3,C,b,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L2,L2,R1,R1,0,4,prolific1,2479.8745021645022
p1_152,2,C,b,,,,L,L,L,L,L,X,X,X,R,,,,X,L,R,R,1,1,prolific1,2420.3986724386723
p1_152,3,C,f,,,,L3,L3,R3,R3,R3,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2479.2344444444443
p1_152,3,L,a,L1,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R2,R1,0,3,prolific1,2548.110052910053
p1_152,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_153,3,C,a,,,,L2,L2,L2,R1,L2,L2,R1,R1,R1,,,,L1,L1,R1,R2,0,2,prolific1,2444.9265079365086
p1_153,2,R,b,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_153,2,L,m,X,X,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,3,prolific1,2506.088888888889
p1_153,3,L,f,L3,L2,L3,L3,L3,L3,L3,L3,R2,,,,,,,L1,L2,R1,R3,0,4,prolific1,2531.9500000000003
p1_154,2,L,f,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,2,prolific1,2535.4665569615568
p1_154,3,C,b,,,,L2,L2,L2,L2,L2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,3,prolific1,2484.066507936508
p1_154,2,R,a,,,,,,,X,X,X,X,X,X,X,R,R,L,L,R,R,0,4,prolific1,2513.9808465608467
p1_154,3,R,m,,,,,,,X1,X1,X1,L2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,1,prolific1,2500.9111111111115
p1_155,3,L,b,L2,L2,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R3,0,4,prolific1,2516.1222222222223
