P_ID,DEPTH,LOC,ORDER,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I01,I03,I29,I31,ERRORS,STIMULI,POOL,SCORE
p1_028,3,R,f,,,,,,,X1,X1,X1,X1,X1,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2525.9333333333334
p1_029,2,R,a,,,,,,,L,L,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2519.0554071854067
p1_029,2,L,f,L,L,L,L,L,R,R,R,R,,,,,,,L,L,R,R,0,2,prolific1,2487.083068783069
p1_029,3,R,m,,,,,,,L2,L3,L3,L3,L3,L3,L3,L3,L3,L1,L1,R1,R1,0,4,prolific1,2423.5111111111114
p1_029,3,C,b,,,,L2,L1,L2,L1,L2,L2,X1,X1,X1,,,,L1,L1,R2,R1,0,1,prolific1,2452.536666666667
p1_030,2,C,b,,,,L,L,L,L,L,R,R,R,X,,,,X,X,R,R,2,3,prolific1,2374.905343915344
p1_030,3,C,f,,,,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,L1,L1,R1,R1,0,4,prolific1,2482.5411688311688
p1_030,2,R,m,,,,,,,L,L,L,X,X,X,X,R,R,X,L,R,R,1,1,prolific1,2408.4950793650796
p1_030,3,L,a,L2,L2,L2,L2,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,2,prolific1,2525.9333333333334
p1_031,2,L,a,L,L,L,L,L,L,L,L,R,,,,,,,L,L,R,R,0,2,prolific1,2535.4665569615568
p1_031,2,C,f,,,,X,L,X,X,X,X,X,X,X,,,,X,L,R,R,1,1,prolific1,2434.984523809524
p1_031,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L2,R1,R1,0,4,prolific1,2557.5333333333338
p1_031,3,C,m,,,,R3,R3,R3,R3,R3,R3,R3,R3,R3,,,,L1,L1,R1,R1,0,3,prolific1,2497.738888888889
p1_032,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,R2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2541.6
p1_032,2,L,b,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_032,3,R,f,,,,,,,L2,L2,R2,L2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2496.748888888889
p1_032,2,C,a,,,,L,R,L,L,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2456.6604016354017
p1_033,3,C,a,,,,L2,L2,L2,L2,L2,X1,X1,X1,X1,,,,L1,L1,R1,R1,0,1,prolific1,2480.9487301587305
p1_033,2,R,b,,,,,,,L,R,R,R,R,R,R,R,R,L,L,R,R,0,3,prolific1,2535.466556961557
p1_033,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_033,3,L,f,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_034,3,R,m,,,,,,,R3,R3,R3,R3,R3,R3,R3,R2,R2,L1,L1,R1,R1,0,4,prolific1,2562.6833333333334
p1_034,2,L,f,L,L,L,L,L,L,L,L,X,,,,,,,L,L,R,R,0,1,prolific1,2542.2136204536205
p1_034,2,R,a,,,,,,,X,X,X,X,R,X,R,R,R,L,L,R,R,0,2,prolific1,2513.1729725829728
p1_034,3,C,b,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,,,,L1,L1,R1,R1,0,3,prolific1,2493.1611111111115
p1_035,2,C,m,,,,X,X,R,L,R,L,X,R,X,,,,L,L,R,R,0,3,prolific1,2394.196005291005
p1_035,3,L,b,X1,X1,X1,X1,L1,L1,L2,R1,R2,,,,,,,L2,L1,R1,R2,0,2,prolific1,2409.4011111111113
p1_035,2,R,f,,,,,,,X,X,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2534.517259037259
p1_035,3,R,a,,,,,,,L3,X1,X1,X1,X1,X1,X1,X1,R2,L1,L2,R3,R1,0,1,prolific1,2491.9666666666667
p1_036,3,L,a,L2,L2,L2,L2,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,1,prolific1,2559.766666666667
p1_036,2,C,b,,,,L,R,R,R,R,R,R,R,R,,,,L,L,R,X,1,2,prolific1,2431.4935409035406
p1_036,3,C,f,,,,L3,L3,L3,L3,L3,L3,L3,L3,L3,,,,L1,L1,R1,R1,0,3,prolific1,2497.7388888888886
p1_036,2,R,m,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,R,0,4,prolific1,2553.2817065342065
p1_037,2,L,m,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_037,2,R,b,,,,,,,L,L,L,R,R,R,R,R,R,L,L,R,R,0,1,prolific1,2503.1263416213415
p1_037,3,C,a,,,,L2,L2,L2,L2,R2,R2,R2,R2,R2,,,,L1,L1,R1,R1,0,2,prolific1,2484.066507936508
p1_037,3,L,f,L3,R3,R3,R3,R3,R3,R3,R3,R3,,,,,,,L3,L1,R1,R1,0,4,prolific1,2442.4222222222224
p1_038,3,C,m,,,,L2,R2,R2,R2,R2,R2,R2,R2,R2,,,,L3,L2,L2,R1,1,1,prolific1,2374.864603174604
p1_038,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L2,L2,R1,R3,0,4,prolific1,2544.3444444444444
p1_038,2,L,a,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467
p1_038,2,C,f,,,,X,X,X,X,X,X,X,R,R,,,,L,L,R,R,0,3,prolific1,2492.815052910053
p1_039,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,X,L,R,R,1,4,prolific1,2516.297262089762
p1_039,3,C,b,,,,L2,L2,L2,L2,L2,L2,R2,R2,R2,,,,L2,L2,R1,L2,1,1,prolific1,2365.765214045214
p1_039,3,R,m,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2558.988888888889
p1_039,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,2,prolific1,2553.2817065342065
p1_040,2,C,a,,,,R,R,R,R,R,R,R,R,R,,,,X,X,R,R,2,4,prolific1,2421.1298683723685
p1_040,3,L,m,L2,L2,L2,L2,L2,L2,L2,L2,L2,,,,,,,L1,L1,R1,R1,0,1,prolific1,2558.988888888889
p1_040,3,R,f,,,,,,,L3,L3,L3,L3,L3,L3,L3,L3,R2,L1,L1,L3,R1,1,3,prolific1,2381.0666666666666
p1_040,2,L,b,L,L,X,X,X,X,X,X,X,,,,,,,L,L,R,R,0,2,prolific1,2513.9808465608467
p1_041,2,R,f,,,,,,,X,L,X,L,R,R,R,R,X,X,L,X,X,3,2,prolific1,2310.924365079365
p1_041,3,L,b,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,,,,L1,L1,R1,R1,0,4,prolific1,2508.088888888889
p1_041,3,R,a,,,,,,,X1,X1,X1,X1,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,3,prolific1,2530.1444444444446
p1_041,2,C,m,,,,X,X,X,X,X,X,X,X,X,,,,L,L,R,R,0,1,prolific1,2506.0888888888894
p1_042,3,C,m,,,,R3,R3,R3,R3,R3,R3,R3,R3,R2,,,,L2,L2,R1,R1,0,2,prolific1,2490.4944444444445
p1_042,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L3,L3,R1,R3,0,4,prolific1,2544.9333333333334
p1_042,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_042,2,C,f,,,,L,L,L,L,L,L,L,L,L,,,,X,L,R,R,1,1,prolific1,2431.9151798201797
p1_043,3,L,a,L2,L2,R2,L2,L2,R2,R2,R2,R2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2452.284126984127
p1_043,2,R,m,,,,,,,L,L,X,X,X,X,X,X,R,L,L,R,R,0,1,prolific1,2476.179973544973
p1_043,3,C,f,,,,X1,X1,X1,X1,X1,R2,R2,R2,R2,,,,L1,L2,R1,R1,0,2,prolific1,2483.751111111111
p1_043,2,C,b,,,,X,X,X,X,R,R,R,R,R,,,,L,L,R,R,0,3,prolific1,2477.1562578162584
p1_044,2,R,f,,,,,,,L,L,L,L,L,L,L,L,R,L,L,R,R,0,3,prolific1,2419.0549019499017
p1_044,3,L,b,L1,L1,L2,L2,L2,L2,L2,L2,R2,,,,,,,L1,L1,R1,R1,0,4,prolific1,2524.8004761904763
p1_044,2,C,m,,,,L,L,L,L,R,R,R,R,R,,,,L,L,R,R,0,1,prolific1,2478.8433140933143
p1_044,3,R,a,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R1,R1,0,2,prolific1,2558.988888888889
p1_045,3,C,m,,,,L3,L3,L3,R3,L3,L3,R3,R3,R3,,,,L1,L2,R1,L3,1,4,prolific1,2368.771111111111
p1_045,2,L,a,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,1,prolific1,2553.2817065342065
p1_045,3,R,b,,,,,,,R2,R2,R2,R2,R2,R2,R2,R2,R2,L1,L1,R3,R3,0,2,prolific1,2540.411111111111
p1_045,2,C,f,,,,L,L,L,L,L,L,L,L,X,,,,L,L,R,R,0,3,prolific1,2473.007792947793
p1_046,2,C,b,,,,R,R,R,R,R,R,R,R,R,,,,L,L,R,R,0,4,prolific1,2477.903201705702
p1_046,2,R,m,,,,,,,L,L,L,X,X,X,X,R,R,L,L,R,R,0,1,prolific1,2467.691560846561
p1_046,3,C,f,,,,X1,X1,X1,X1,X1,X1,X1,X1,X1,,,,L1,L1,R3,R3,0,2,prolific1,2506.0111111111114
p1_046,3,L,a,L2,L3,L3,L3,L3,L3,L3,L3,L3,,,,,,,L1,L1,R1,R1,0,3,prolific1,2562.811111111111
p1_047,2,L,f,L,L,L,L,L,L,L,L,L,,,,,,,L,L,R,R,0,3,prolific1,2553.2817065342065
p1_047,3,C,b,,,,L3,L3,L3,L3,R3,R3,R3,R3,R2,,,,L1,L1,R1,R1,0,2,prolific1,2489.105555555556
p1_047,2,R,a,,,,,,,R,R,R,R,R,R,R,R,R,L,L,R,X,1,4,prolific1,2506.9316022866024
p1_047,3,R,m,,,,,,,L2,X1,X1,X1,X1,X1,X1,X1,R2,L3,L1,R1,R1,0,1,prolific1,2492.288888888889
p1_048,2,C,a,,,,L,L,L,L,L,R,L,R,R,,,,L,L,R,R,0,3,prolific1,2466.8889995189998
p1_048,3,R,f,,,,,,,X1,X1,X1,X1,R2,X1,R2,X1,X1,L1,L1,R1,R1,0,2,prolific1,2481.6000000000004
p1_048,3,L,m,X1,X1,X1,X1,X1,X1,X1,R2,R2,,,,,,,L2,L1,R1,R1,0,4,prolific1,2472.0000000000005
